TOKEN	NE-COARSE-LIT	NE-COARSE-METO	NE-FINE-LIT	NE-FINE-METO	NE-FINE-COMP	NE-NESTED	NEL-LIT	NEL-METO	MISC
# language=de
# document_id=NEReval_egodoc_early-modern-german_v1-0

# document_id=NUL (see https://github.com/ole-meiners/NER-evaluation/blob/main/README.md)
Jst	O	_	_	_	_	_	_	_	_
nun	O	_	_	_	_	_	_	_	_
zumal	O	_	_	_	_	_	_	_	_
zuwissen	O	_	_	_	_	_	_	_	_
/	O	_	_	_	_	_	_	_	_
wer	O	_	_	_	_	_	_	_	_
do	O	_	_	_	_	_	_	_	_
gewest	O	_	_	_	_	_	_	_	_
sey	O	_	_	_	_	_	_	_	_
der	O	_	_	_	_	_	_	_	_
erste	O	_	_	_	_	_	_	_	_
vrsacher	O	_	_	_	_	_	_	_	_
oder	O	_	_	_	_	_	_	_	_
anfenger	O	_	_	_	_	_	_	_	_
/	O	_	_	_	_	_	_	_	_
der	O	_	_	_	_	_	_	_	_
do	O	_	_	_	_	_	_	_	_
hat	O	_	_	_	_	_	_	_	_
lassen	O	_	_	_	_	_	_	_	_
vberfaren	O	_	_	_	_	_	_	_	_
die	O	_	_	_	_	_	_	_	_
ort	O	_	_	_	_	_	_	_	_
des	O	_	_	_	_	_	_	_	_
Meres	O	_	_	_	_	_	_	_	_
Occeani	O	_	_	_	_	_	_	_	_
/	O	_	_	_	_	_	_	_	_
gegen	O	_	_	_	_	_	_	_	_
mittemtag	O	_	_	_	_	_	_	_	_
/	O	_	_	_	_	_	_	_	_
in	O	_	_	_	_	_	_	_	_
dise	O	_	_	_	_	_	_	_	_
lande	O	_	_	_	_	_	_	_	_
der	O	_	_	_	_	_	_	_	_
Moren	O	_	_	_	_	_	_	_	_
/	O	_	_	_	_	_	_	_	_
des	O	_	_	_	_	_	_	_	_
nidern	O	_	_	_	_	_	_	_	_
Morenlands	O	_	_	_	_	_	_	_	_
/	O	_	_	_	_	_	_	_	_
welche	O	_	_	_	_	_	_	_	_
seyder	O	_	_	_	_	_	_	_	_
Adams	B-PER	_	_	_	_	_	_	_	_
zeytten	O	_	_	_	_	_	_	_	_
bißhere	O	_	_	_	_	_	_	_	_
(	O	_	_	_	_	_	_	_	_
das	O	_	_	_	_	_	_	_	_
wissentlich	O	_	_	_	_	_	_	_	_
sey	O	_	_	_	_	_	_	_	_
)	O	_	_	_	_	_	_	_	_
nicht	O	_	_	_	_	_	_	_	_
sein	O	_	_	_	_	_	_	_	_
geschyffet	O	_	_	_	_	_	_	_	_
worden	O	_	_	_	_	_	_	_	_
(	O	_	_	_	_	_	_	_	_
do	O	_	_	_	_	_	_	_	_
von	O	_	_	_	_	_	_	_	_
schreybt	O	_	_	_	_	_	_	_	_
auch	O	_	_	_	_	_	_	_	_
Plinius	B-PER	_	_	_	_	_	_	_	_
)	O	_	_	_	_	_	_	_	_
biß	O	_	_	_	_	_	_	_	_
in	O	_	_	_	_	_	_	_	_
disem	O	_	_	_	_	_	_	_	_
sumer	O	_	_	_	_	_	_	_	_
/	O	_	_	_	_	_	_	_	_

Welches	O	_	_	_	_	_	_	_	_
ich	O	_	_	_	_	_	_	_	_
vmb	O	_	_	_	_	_	_	_	_
kurtz	O	_	_	_	_	_	_	_	_
vnderlasse	O	_	_	_	_	_	_	_	_
/	O	_	_	_	_	_	_	_	_
dann	O	_	_	_	_	_	_	_	_
alleyn	O	_	_	_	_	_	_	_	_
das	O	_	_	_	_	_	_	_	_
der	O	_	_	_	_	_	_	_	_
ytzgemelte	O	_	_	_	_	_	_	_	_
Furst	B-PER	_	_	_	_	_	_	_	_
/	I-PER	_	_	_	_	_	_	_	_
herr	I-PER	_	_	_	_	_	_	_	_
Hurich	I-PER	_	_	_	_	_	_	_	_
/	O	_	_	_	_	_	_	_	_
gantz	O	_	_	_	_	_	_	_	_
vnd	O	_	_	_	_	_	_	_	_
gar	O	_	_	_	_	_	_	_	_
genaygt	O	_	_	_	_	_	_	_	_
ist	O	_	_	_	_	_	_	_	_
gewest	O	_	_	_	_	_	_	_	_
/	O	_	_	_	_	_	_	_	_
zu	O	_	_	_	_	_	_	_	_
der	O	_	_	_	_	_	_	_	_
Ritterschafft	O	_	_	_	_	_	_	_	_
vnsers	O	_	_	_	_	_	_	_	_
hern̄	O	_	_	_	_	_	_	_	_
Jhesu	B-PER	_	_	_	_	_	_	_	_
christi	I-PER	_	_	_	_	_	_	_	_
/	O	_	_	_	_	_	_	_	_
mit	O	_	_	_	_	_	_	_	_
kriegen	O	_	_	_	_	_	_	_	_
/	O	_	_	_	_	_	_	_	_
wider	O	_	_	_	_	_	_	_	_
die	O	_	_	_	_	_	_	_	_
wilden	O	_	_	_	_	_	_	_	_
vntzamen	O	_	_	_	_	_	_	_	_
völcker	O	_	_	_	_	_	_	_	_
/	O	_	_	_	_	_	_	_	_
mit	O	_	_	_	_	_	_	_	_
jnen	O	_	_	_	_	_	_	_	_
zu	O	_	_	_	_	_	_	_	_
streyten	O	_	_	_	_	_	_	_	_
vmb	O	_	_	_	_	_	_	_	_
Christlichens	O	_	_	_	_	_	_	_	_
glaubes	O	_	_	_	_	_	_	_	_
willen	O	_	_	_	_	_	_	_	_
/	O	_	_	_	_	_	_	_	_

Er	O	_	_	_	_	_	_	_	_
hat	O	_	_	_	_	_	_	_	_
auch	O	_	_	_	_	_	_	_	_
vil	O	_	_	_	_	_	_	_	_
Erlicher	O	_	_	_	_	_	_	_	_
vnd	O	_	_	_	_	_	_	_	_
Ritterlicher	O	_	_	_	_	_	_	_	_
thate	O	_	_	_	_	_	_	_	_
gethan	O	_	_	_	_	_	_	_	_
/	O	_	_	_	_	_	_	_	_
mit	O	_	_	_	_	_	_	_	_
aygner	O	_	_	_	_	_	_	_	_
person	O	_	_	_	_	_	_	_	_
/	O	_	_	_	_	_	_	_	_
durch	O	_	_	_	_	_	_	_	_
sein	O	_	_	_	_	_	_	_	_
listigkeyt	O	_	_	_	_	_	_	_	_
/	O	_	_	_	_	_	_	_	_
oder	O	_	_	_	_	_	_	_	_
durch	O	_	_	_	_	_	_	_	_
sein	O	_	_	_	_	_	_	_	_
subtile	O	_	_	_	_	_	_	_	_
vernunft	O	_	_	_	_	_	_	_	_
/	O	_	_	_	_	_	_	_	_
in	O	_	_	_	_	_	_	_	_
den	O	_	_	_	_	_	_	_	_
schlachten	O	_	_	_	_	_	_	_	_
wider	O	_	_	_	_	_	_	_	_
die	O	_	_	_	_	_	_	_	_
Morn	O	_	_	_	_	_	_	_	_
/	O	_	_	_	_	_	_	_	_
das	O	_	_	_	_	_	_	_	_
zumercken	O	_	_	_	_	_	_	_	_
wol	O	_	_	_	_	_	_	_	_
wirdig	O	_	_	_	_	_	_	_	_
ist	O	_	_	_	_	_	_	_	_
/	O	_	_	_	_	_	_	_	_

Vnd	O	_	_	_	_	_	_	_	_
satzten	O	_	_	_	_	_	_	_	_
darein	O	_	_	_	_	_	_	_	_
Redliche	O	_	_	_	_	_	_	_	_
streytbare	O	_	_	_	_	_	_	_	_
manne	O	_	_	_	_	_	_	_	_
/	O	_	_	_	_	_	_	_	_
welche	O	_	_	_	_	_	_	_	_
hinweg	O	_	_	_	_	_	_	_	_
schyfften	O	_	_	_	_	_	_	_	_
/	O	_	_	_	_	_	_	_	_

Vnd	O	_	_	_	_	_	_	_	_
darnach	O	_	_	_	_	_	_	_	_
von	O	_	_	_	_	_	_	_	_
einer	O	_	_	_	_	_	_	_	_
zeyt	O	_	_	_	_	_	_	_	_
zu	O	_	_	_	_	_	_	_	_
der	O	_	_	_	_	_	_	_	_
andern	O	_	_	_	_	_	_	_	_
/	O	_	_	_	_	_	_	_	_
das	O	_	_	_	_	_	_	_	_
wir	O	_	_	_	_	_	_	_	_
funden	O	_	_	_	_	_	_	_	_
andere	O	_	_	_	_	_	_	_	_
geschlechte	O	_	_	_	_	_	_	_	_
diser	O	_	_	_	_	_	_	_	_
Moren	O	_	_	_	_	_	_	_	_
/	O	_	_	_	_	_	_	_	_
von	O	_	_	_	_	_	_	_	_
seltzamen	O	_	_	_	_	_	_	_	_
weysen	O	_	_	_	_	_	_	_	_
/	O	_	_	_	_	_	_	_	_
sprachen	O	_	_	_	_	_	_	_	_
/	O	_	_	_	_	_	_	_	_
sytten	O	_	_	_	_	_	_	_	_
/	O	_	_	_	_	_	_	_	_
vnd	O	_	_	_	_	_	_	_	_
glauben	O	_	_	_	_	_	_	_	_
/	O	_	_	_	_	_	_	_	_
als	O	_	_	_	_	_	_	_	_
du	O	_	_	_	_	_	_	_	_
hören	O	_	_	_	_	_	_	_	_
wirst	O	_	_	_	_	_	_	_	_
/	O	_	_	_	_	_	_	_	_
so	O	_	_	_	_	_	_	_	_
wir	O	_	_	_	_	_	_	_	_
weyter	O	_	_	_	_	_	_	_	_
in	O	_	_	_	_	_	_	_	_
ditz	O	_	_	_	_	_	_	_	_
vnser	O	_	_	_	_	_	_	_	_
büchlein	O	_	_	_	_	_	_	_	_
hinein	O	_	_	_	_	_	_	_	_
werden	O	_	_	_	_	_	_	_	_
kumen	O	_	_	_	_	_	_	_	_
.	O	_	_	_	_	_	_	_	_

Vnd	O	_	_	_	_	_	_	_	_
als	O	_	_	_	_	_	_	_	_
ich	O	_	_	_	_	_	_	_	_
mir	O	_	_	_	_	_	_	_	_
also	O	_	_	_	_	_	_	_	_
hete	O	_	_	_	_	_	_	_	_
furgenomen	O	_	_	_	_	_	_	_	_
zu	O	_	_	_	_	_	_	_	_
ziehen	O	_	_	_	_	_	_	_	_
/	O	_	_	_	_	_	_	_	_
als	O	_	_	_	_	_	_	_	_
ich	O	_	_	_	_	_	_	_	_
yetz	O	_	_	_	_	_	_	_	_
gesagt	O	_	_	_	_	_	_	_	_
hab	O	_	_	_	_	_	_	_	_
/	O	_	_	_	_	_	_	_	_

Vnd	O	_	_	_	_	_	_	_	_
also	O	_	_	_	_	_	_	_	_
fragt	O	_	_	_	_	_	_	_	_
ich	O	_	_	_	_	_	_	_	_
sie	O	_	_	_	_	_	_	_	_
/	O	_	_	_	_	_	_	_	_
ob	O	_	_	_	_	_	_	_	_
der	O	_	_	_	_	_	_	_	_
gemelte	O	_	_	_	_	_	_	_	_
Fürste	O	_	_	_	_	_	_	_	_
/	O	_	_	_	_	_	_	_	_
liesse	O	_	_	_	_	_	_	_	_
ziehen	O	_	_	_	_	_	_	_	_
einen	O	_	_	_	_	_	_	_	_
yetzlichen	O	_	_	_	_	_	_	_	_
/	O	_	_	_	_	_	_	_	_
der	O	_	_	_	_	_	_	_	_
an	O	_	_	_	_	_	_	_	_
die	O	_	_	_	_	_	_	_	_
selbigen	O	_	_	_	_	_	_	_	_
orte	O	_	_	_	_	_	_	_	_
wölte	O	_	_	_	_	_	_	_	_
farn	O	_	_	_	_	_	_	_	_
Sagten	O	_	_	_	_	_	_	_	_
sie	O	_	_	_	_	_	_	_	_
mir	O	_	_	_	_	_	_	_	_
/	O	_	_	_	_	_	_	_	_

So	O	_	_	_	_	_	_	_	_
dann	O	_	_	_	_	_	_	_	_
der	O	_	_	_	_	_	_	_	_
selbig	O	_	_	_	_	_	_	_	_
wider	O	_	_	_	_	_	_	_	_
haym	O	_	_	_	_	_	_	_	_
kumpt	O	_	_	_	_	_	_	_	_
/	O	_	_	_	_	_	_	_	_
solle	O	_	_	_	_	_	_	_	_
dem	O	_	_	_	_	_	_	_	_
