TOKEN	NE-COARSE-LIT	NE-COARSE-METO	NE-FINE-LIT	NE-FINE-METO	NE-FINE-COMP	NE-NESTED	NEL-LIT	NEL-METO	MISC
#language=de
#document_id=NUL (see https://github.com/ole-meiners/NER-evaluation/blob/main/README.md)
Jst	O	_	_	_	_	_	_	_	_
nun	O	_	_	_	_	_	_	_	_
zumal	O	_	_	_	_	_	_	_	_
zuwissen	O	_	_	_	_	_	_	_	_
/	O	_	_	_	_	_	_	_	_
wer	O	_	_	_	_	_	_	_	_
do	O	_	_	_	_	_	_	_	_
gewest	O	_	_	_	_	_	_	_	_
sey	O	_	_	_	_	_	_	_	_
der	O	_	_	_	_	_	_	_	_
erste	O	_	_	_	_	_	_	_	_
vrsacher	O	_	_	_	_	_	_	_	_
oder	O	_	_	_	_	_	_	_	_
anfenger	O	_	_	_	_	_	_	_	_
/	O	_	_	_	_	_	_	_	_
der	O	_	_	_	_	_	_	_	_
do	O	_	_	_	_	_	_	_	_
hat	O	_	_	_	_	_	_	_	_
lassen	O	_	_	_	_	_	_	_	_
vberfaren	O	_	_	_	_	_	_	_	_
die	O	_	_	_	_	_	_	_	_
ort	O	_	_	_	_	_	_	_	_
des	O	_	_	_	_	_	_	_	_
Meres	O	_	_	_	_	_	_	_	_
Occeani	O	_	_	_	_	_	_	_	_
/	O	_	_	_	_	_	_	_	_
gegen	O	_	_	_	_	_	_	_	_
mittemtag	O	_	_	_	_	_	_	_	_
/	O	_	_	_	_	_	_	_	_
in	O	_	_	_	_	_	_	_	_
dise	O	_	_	_	_	_	_	_	_
lande	O	_	_	_	_	_	_	_	_
der	O	_	_	_	_	_	_	_	_
Moren	O	_	_	_	_	_	_	_	_
/	O	_	_	_	_	_	_	_	_
des	O	_	_	_	_	_	_	_	_
nidern	O	_	_	_	_	_	_	_	_
Morenlands	O	_	_	_	_	_	_	_	_
/	O	_	_	_	_	_	_	_	_
welche	O	_	_	_	_	_	_	_	_
seyder	O	_	_	_	_	_	_	_	_
Adams	B-PER	_	_	_	_	_	_	_	_
zeytten	O	_	_	_	_	_	_	_	_
bißhere	O	_	_	_	_	_	_	_	_
(	O	_	_	_	_	_	_	_	_
das	O	_	_	_	_	_	_	_	_
wissentlich	O	_	_	_	_	_	_	_	_
sey	O	_	_	_	_	_	_	_	_
)	O	_	_	_	_	_	_	_	_
nicht	O	_	_	_	_	_	_	_	_
sein	O	_	_	_	_	_	_	_	_
geschyffet	O	_	_	_	_	_	_	_	_
worden	O	_	_	_	_	_	_	_	_
(	O	_	_	_	_	_	_	_	_
do	O	_	_	_	_	_	_	_	_
von	O	_	_	_	_	_	_	_	_
schreybt	O	_	_	_	_	_	_	_	_
auch	O	_	_	_	_	_	_	_	_
Plinius	B-PER	_	_	_	_	_	_	_	_
)	O	_	_	_	_	_	_	_	_
biß	O	_	_	_	_	_	_	_	_
in	O	_	_	_	_	_	_	_	_
disem	O	_	_	_	_	_	_	_	_
sumer	O	_	_	_	_	_	_	_	_
/	O	_	_	_	_	_	_	_	_

Welches	O	_	_	_	_	_	_	_	_
ich	O	_	_	_	_	_	_	_	_
vmb	O	_	_	_	_	_	_	_	_
kurtz	O	_	_	_	_	_	_	_	_
vnderlasse	O	_	_	_	_	_	_	_	_
/	O	_	_	_	_	_	_	_	_
dann	O	_	_	_	_	_	_	_	_
alleyn	O	_	_	_	_	_	_	_	_
das	O	_	_	_	_	_	_	_	_
der	O	_	_	_	_	_	_	_	_
ytzgemelte	O	_	_	_	_	_	_	_	_
Furst	B-PER	_	_	_	_	_	_	_	_
/	I-PER	_	_	_	_	_	_	_	_
herr	I-PER	_	_	_	_	_	_	_	_
Hurich	I-PER	_	_	_	_	_	_	_	_
/	O	_	_	_	_	_	_	_	_
gantz	O	_	_	_	_	_	_	_	_
vnd	O	_	_	_	_	_	_	_	_
gar	O	_	_	_	_	_	_	_	_
genaygt	O	_	_	_	_	_	_	_	_
ist	O	_	_	_	_	_	_	_	_
gewest	O	_	_	_	_	_	_	_	_
/	O	_	_	_	_	_	_	_	_
zu	O	_	_	_	_	_	_	_	_
der	O	_	_	_	_	_	_	_	_
Ritterschafft	O	_	_	_	_	_	_	_	_
vnsers	O	_	_	_	_	_	_	_	_
hern̄	O	_	_	_	_	_	_	_	_
Jhesu	B-PER	_	_	_	_	_	_	_	_
christi	I-PER	_	_	_	_	_	_	_	_
/	O	_	_	_	_	_	_	_	_
mit	O	_	_	_	_	_	_	_	_
kriegen	O	_	_	_	_	_	_	_	_
/	O	_	_	_	_	_	_	_	_
wider	O	_	_	_	_	_	_	_	_
die	O	_	_	_	_	_	_	_	_
wilden	O	_	_	_	_	_	_	_	_
vntzamen	O	_	_	_	_	_	_	_	_
völcker	O	_	_	_	_	_	_	_	_
