TOKEN	NE-COARSE-LIT	NE-COARSE-METO	NE-FINE-LIT	NE-FINE-METO	NE-FINE-COMP	NE-NESTED	NEL-LIT	NEL-METO	MISC
# language=de									
# document_id=DA (see https://github.com/ole-meiners/NER-evaluation/blob/main/README.md)
Sive	O	_	_	_	_	_	_	_	_
Diarium	O	_	_	_	_	_	_	_	_
(	O	_	_	_	_	_	_	_	_
1594	O	_	_	_	_	_	_	_	_
-	O	_	_	_	_	_	_	_	_
1635	O	_	_	_	_	_	_	_	_
)	O	_	_	_	_	_	_	_	_

Den	O	_	_	_	_	_	_	_	_
11	O	_	_	_	_	_	_	_	_
Apr	O	_	_	_	_	_	_	_	_
♃	O	_	_	_	_	_	_	_	_
biß	O	_	_	_	_	_	_	_	_
Gustrow	B-LOC	_	_	_	_	_	_	_	_
stadt	I-LOC	_	_	_	_	_	_	_	_
,	O	_	_	_	_	_	_	_	_
5	O	_	_	_	_	_	_	_	_
.	O	_	_	_	_	_	_	_	_
meill	O	_	_	_	_	_	_	_	_

Den	O	_	_	_	_	_	_	_	_
16	O	_	_	_	_	_	_	_	_
Apr	O	_	_	_	_	_	_	_	_
♂	O	_	_	_	_	_	_	_	_
M	B-PER	_	_	_	_	_	_	_	_
.	I-PER	_	_	_	_	_	_	_	_
Nicolaus	I-PER	_	_	_	_	_	_	_	_
Willebrandus	I-PER	_	_	_	_	_	_	_	_
rc	O	_	_	_	_	_	_	_	_
.	O	_	_	_	_	_	_	_	_

Den	O	_	_	_	_	_	_	_	_
29	O	_	_	_	_	_	_	_	_
Apr	O	_	_	_	_	_	_	_	_
☽	O	_	_	_	_	_	_	_	_
D	B-PER	_	_	_	_	_	_	_	_
.	I-PER	_	_	_	_	_	_	_	_
Philippus	I-PER	_	_	_	_	_	_	_	_
Pomeranorum	I-PER	_	_	_	_	_	_	_	_
rc	O	_	_	_	_	_	_	_	_
.	O	_	_	_	_	_	_	_	_

Den	O	_	_	_	_	_	_	_	_
16	O	_	_	_	_	_	_	_	_
July	O	_	_	_	_	_	_	_	_
:	O	_	_	_	_	_	_	_	_
♂	O	_	_	_	_	_	_	_	_
hora	O	_	_	_	_	_	_	_	_
8	O	_	_	_	_	_	_	_	_
.	O	_	_	_	_	_	_	_	_
vespera	O	_	_	_	_	_	_	_	_
O	O	_	_	_	_	_	_	_	_
inß	O	_	_	_	_	_	_	_	_
Oh	O	_	_	_	_	_	_	_	_
:	O	_	_	_	_	_	_	_	_
machen	O	_	_	_	_	_	_	_	_
lassen	O	_	_	_	_	_	_	_	_
.	O	_	_	_	_	_	_	_	_

Den	O	_	_	_	_	_	_	_	_
9	O	_	_	_	_	_	_	_	_
Aug	O	_	_	_	_	_	_	_	_
♀	O	_	_	_	_	_	_	_	_
biß	O	_	_	_	_	_	_	_	_
Ribbenitz	B-LOC	_	_	_	_	_	_	_	_
,	I-LOC	_	_	_	_	_	_	_	_
kloster	I-LOC	_	_	_	_	_	_	_	_
,	O	_	_	_	_	_	_	_	_
Damgartt	B-LOC	_	_	_	_	_	_	_	_
,	O	_	_	_	_	_	_	_	_
3	O	_	_	_	_	_	_	_	_
.	O	_	_	_	_	_	_	_	_
meill	O	_	_	_	_	_	_	_	_
.	O	_	_	_	_	_	_	_	_
mittags	O	_	_	_	_	_	_	_	_
mahl	O	_	_	_	_	_	_	_	_
,	O	_	_	_	_	_	_	_	_
Barth	B-LOC	_	_	_	_	_	_	_	_
,	O	_	_	_	_	_	_	_	_
3	O	_	_	_	_	_	_	_	_
meill	O	_	_	_	_	_	_	_	_
,	O	_	_	_	_	_	_	_	_
facit	O	_	_	_	_	_	_	_	_
