TOKEN	NE-COARSE-LIT	NE-COARSE-METO	NE-FINE-LIT	NE-FINE-METO	NE-FINE-COMP	NE-NESTED	NEL-LIT	NEL-METO	MISC
#language=de
#document_id=LP (see https://github.com/ole-meiners/NER-evaluation/blob/main/README.md)
So	O	_	_	_	_	_	_	_	_
viel	O	_	_	_	_	_	_	_	_
als	O	_	_	_	_	_	_	_	_
nun	O	_	_	_	_	_	_	_	_
itzo	O	_	_	_	_	_	_	_	_
nöthig	O	_	_	_	_	_	_	_	_
seyn	O	_	_	_	_	_	_	_	_
wird	O	_	_	_	_	_	_	_	_
anzuführen	O	_	_	_	_	_	_	_	_
/	O	_	_	_	_	_	_	_	_
ist	O	_	_	_	_	_	_	_	_
aus	O	_	_	_	_	_	_	_	_
dem	O	_	_	_	_	_	_	_	_
zu	O	_	_	_	_	_	_	_	_
letzt	O	_	_	_	_	_	_	_	_
verfertigten	O	_	_	_	_	_	_	_	_
/	O	_	_	_	_	_	_	_	_
und	O	_	_	_	_	_	_	_	_
von	O	_	_	_	_	_	_	_	_
Ihm	O	_	_	_	_	_	_	_	_
verwichenes	O	_	_	_	_	_	_	_	_
Jahr	O	_	_	_	_	_	_	_	_
nur	O	_	_	_	_	_	_	_	_
den	O	_	_	_	_	_	_	_	_
13	O	_	_	_	_	_	_	_	_
.	O	_	_	_	_	_	_	_	_
Aug	O	_	_	_	_	_	_	_	_
.	O	_	_	_	_	_	_	_	_
wieder	O	_	_	_	_	_	_	_	_
revidirten	O	_	_	_	_	_	_	_	_
Auffsatz	O	_	_	_	_	_	_	_	_
zu	O	_	_	_	_	_	_	_	_
melden	O	_	_	_	_	_	_	_	_
/	O	_	_	_	_	_	_	_	_
daß	O	_	_	_	_	_	_	_	_
/	O	_	_	_	_	_	_	_	_
nach	O	_	_	_	_	_	_	_	_
abgelegter	O	_	_	_	_	_	_	_	_
allgemeiner	O	_	_	_	_	_	_	_	_
Dancksagung	O	_	_	_	_	_	_	_	_
zu	O	_	_	_	_	_	_	_	_
GOtt	B-PER	_	_	_	_	_	_	_	_
/	O	_	_	_	_	_	_	_	_
Er	O	_	_	_	_	_	_	_	_
also	O	_	_	_	_	_	_	_	_
geschrieben	O	_	_	_	_	_	_	_	_
:	O	_	_	_	_	_	_	_	_

Lieber	O	_	_	_	_	_	_	_	_
GOtt	B-PER	_	_	_	_	_	_	_	_
/	O	_	_	_	_	_	_	_	_
ich	O	_	_	_	_	_	_	_	_
habe	O	_	_	_	_	_	_	_	_
auch	O	_	_	_	_	_	_	_	_
über	O	_	_	_	_	_	_	_	_
die	O	_	_	_	_	_	_	_	_
minutissima	O	_	_	_	_	_	_	_	_
meiner	O	_	_	_	_	_	_	_	_
Gebuhrt	O	_	_	_	_	_	_	_	_
vor	O	_	_	_	_	_	_	_	_
dir	O	_	_	_	_	_	_	_	_
köstliche	O	_	_	_	_	_	_	_	_
Gedancken	O	_	_	_	_	_	_	_	_
