TOKEN	NE-COARSE-LIT	NE-COARSE-METO	NE-FINE-LIT	NE-FINE-METO	NE-FINE-COMP	NE-NESTED	NEL-LIT	NEL-METO	MISC
#language=de
# document_id=BE (see https://github.com/ole-meiners/NER-evaluation/blob/main/README.md)
Hochgebohrner	O	_	_	_	_	_	_	_	_
Graff	O	_	_	_	_	_	_	_	_
,	O	_	_	_	_	_	_	_	_
Freundlich	O	_	_	_	_	_	_	_	_
vielgeliebter	O	_	_	_	_	_	_	_	_
Herr	O	_	_	_	_	_	_	_	_
Vetter	O	_	_	_	_	_	_	_	_
und	O	_	_	_	_	_	_	_	_
Gevatter	O	_	_	_	_	_	_	_	_
,	O	_	_	_	_	_	_	_	_

meine	O	_	_	_	_	_	_	_	_
lore	B-PER	_	_	_	_	_	_	_	_
grißen	O	_	_	_	_	_	_	_	_
und	O	_	_	_	_	_	_	_	_
kißen	O	_	_	_	_	_	_	_	_
sie	O	_	_	_	_	_	_	_	_
mir	O	_	_	_	_	_	_	_	_
ihre	O	_	_	_	_	_	_	_	_
kinder	O	_	_	_	_	_	_	_	_
nebst	O	_	_	_	_	_	_	_	_
denn	O	_	_	_	_	_	_	_	_
solmischen	B-PER	_	_	_	_	_	_	_	_
henerich	I-PER	_	_	_	_	_	_	_	_
kiß	O	_	_	_	_	_	_	_	_
ich	O	_	_	_	_	_	_	_	_
auch	O	_	_	_	_	_	_	_	_
und	O	_	_	_	_	_	_	_	_
bleibe	O	_	_	_	_	_	_	_	_
lebens	O	_	_	_	_	_	_	_	_
lang	O	_	_	_	_	_	_	_	_
mit	O	_	_	_	_	_	_	_	_
aller	O	_	_	_	_	_	_	_	_
auf	O	_	_	_	_	_	_	_	_
richt	O	_	_	_	_	_	_	_	_
keit	O	_	_	_	_	_	_	_	_
ihre	O	_	_	_	_	_	_	_	_
treüe	O	_	_	_	_	_	_	_	_
baß	O	_	_	_	_	_	_	_	_
und	O	_	_	_	_	_	_	_	_
dinerin	O	_	_	_	_	_	_	_	_
,	O	_	_	_	_	_	_	_	_
Erdmuhte	B-PER	_	_	_	_	_	_	_	_

lebet	O	_	_	_	_	_	_	_	_
vergnigt	O	_	_	_	_	_	_	_	_
mit	O	_	_	_	_	_	_	_	_
einander	O	_	_	_	_	_	_	_	_
,	O	_	_	_	_	_	_	_	_
und	O	_	_	_	_	_	_	_	_
vergeßet	O	_	_	_	_	_	_	_	_
der	O	_	_	_	_	_	_	_	_
ienigen	O	_	_	_	_	_	_	_	_
nicht	O	_	_	_	_	_	_	_	_
die	O	_	_	_	_	_	_	_	_
biß	O	_	_	_	_	_	_	_	_
in	O	_	_	_	_	_	_	_	_
todt	O	_	_	_	_	_	_	_	_
eüer	O	_	_	_	_	_	_	_	_
beÿder	O	_	_	_	_	_	_	_	_
treüeste	O	_	_	_	_	_	_	_	_
